achr,astart,aend,bchr,bstart,bend,size,sizebins,binsize,dil_size1,dil_iter1,dil_size2,dil_iter2,inter_z_thresh,kernel_size
chr1,8448000.0,8608000.0,chr1,8416000.0,8608000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,8736000.0,8768000.0,chr1,8704000.0,8768000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,8832000.0,8992000.0,chr1,8800000.0,8992000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,9152000.0,9216000.0,chr1,8832000.0,8896000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,9088000.0,9120000.0,chr1,8928000.0,8960000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,8800000.0,8992000.0,chr1,9056000.0,9248000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,9056000.0,9312000.0,chr1,9056000.0,9312000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,9216000.0,9248000.0,chr1,9504000.0,9536000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,9504000.0,9568000.0,chr1,9472000.0,9568000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,10016000.0,10048000.0,chr1,9984000.0,10016000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,10048000.0,10272000.0,chr1,10048000.0,10240000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,10496000.0,10720000.0,chr1,10496000.0,10720000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,9984000.0,10080000.0,chr1,10624000.0,10688000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,10848000.0,11040000.0,chr1,10848000.0,11008000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,11008000.0,11040000.0,chr1,11232000.0,11264000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,11200000.0,11520000.0,chr1,11200000.0,11520000.0,320000.0,10,32000.0,1,1,1,1,0.5,11
chr1,11520000.0,11808000.0,chr1,11488000.0,11776000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,11872000.0,11936000.0,chr1,11616000.0,11680000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,11520000.0,11744000.0,chr1,11808000.0,11968000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,11840000.0,12000000.0,chr1,11808000.0,12000000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,12224000.0,12352000.0,chr1,12224000.0,12320000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,11744000.0,11776000.0,chr1,12384000.0,12416000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,12384000.0,12576000.0,chr1,12384000.0,12576000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,12224000.0,12256000.0,chr1,12448000.0,12480000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,12928000.0,13152000.0,chr1,12896000.0,13120000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,13184000.0,13344000.0,chr1,13152000.0,13312000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,12992000.0,13088000.0,chr1,13216000.0,13280000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,13472000.0,13504000.0,chr1,13248000.0,13280000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,13216000.0,13312000.0,chr1,13440000.0,13536000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,13440000.0,13536000.0,chr1,13440000.0,13536000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,13632000.0,13696000.0,chr1,13600000.0,13696000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,14208000.0,14240000.0,chr1,14208000.0,14240000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,14368000.0,14432000.0,chr1,14368000.0,14400000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,14624000.0,14816000.0,chr1,14624000.0,14816000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,14880000.0,15008000.0,chr1,14880000.0,15008000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,14688000.0,14752000.0,chr1,14912000.0,15008000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,15072000.0,15232000.0,chr1,15040000.0,15232000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,14912000.0,14944000.0,chr1,15136000.0,15168000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,15360000.0,15520000.0,chr1,15328000.0,15488000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,15616000.0,15680000.0,chr1,15424000.0,15488000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,15424000.0,15488000.0,chr1,15584000.0,15712000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,15584000.0,15744000.0,chr1,15584000.0,15744000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,15616000.0,15680000.0,chr1,15840000.0,15904000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,15840000.0,15936000.0,chr1,15808000.0,15904000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,16128000.0,16256000.0,chr1,16096000.0,16224000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,221056000.0,221408000.0,chr1,16160000.0,16320000.0,352000.0,11,32000.0,1,1,1,1,0.5,11
chr1,16512000.0,16576000.0,chr1,16320000.0,16352000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,221056000.0,221408000.0,chr1,16352000.0,16512000.0,352000.0,11,32000.0,1,1,1,1,0.5,11
chr1,16448000.0,16640000.0,chr1,16448000.0,16608000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,16640000.0,16800000.0,chr1,16640000.0,16800000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,16512000.0,16544000.0,chr1,16736000.0,16768000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,16896000.0,17184000.0,chr1,16864000.0,17184000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,16672000.0,16768000.0,chr1,16896000.0,17024000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,17216000.0,17376000.0,chr1,17216000.0,17376000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,17056000.0,17088000.0,chr1,17280000.0,17312000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,17760000.0,17920000.0,chr1,17728000.0,17888000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,17952000.0,18016000.0,chr1,17920000.0,17984000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,18144000.0,18304000.0,chr1,18112000.0,18304000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,18400000.0,18592000.0,chr1,18400000.0,18592000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,18688000.0,18752000.0,chr1,18688000.0,18752000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,18848000.0,19040000.0,chr1,18816000.0,19008000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,19136000.0,19296000.0,chr1,19104000.0,19264000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,19168000.0,19232000.0,chr1,19360000.0,19456000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,19360000.0,19520000.0,chr1,19328000.0,19488000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,19680000.0,19840000.0,chr1,19680000.0,19808000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,20000000.0,20096000.0,chr1,19968000.0,20096000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,20128000.0,20288000.0,chr1,20128000.0,20256000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,20672000.0,20832000.0,chr1,20640000.0,20800000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,20928000.0,20960000.0,chr1,20672000.0,20768000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,20672000.0,20800000.0,chr1,20896000.0,20992000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,20896000.0,21088000.0,chr1,20896000.0,21088000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,21120000.0,21280000.0,chr1,21120000.0,21280000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,21440000.0,21728000.0,chr1,21440000.0,21728000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,21920000.0,22016000.0,chr1,21888000.0,22016000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,22144000.0,22304000.0,chr1,22112000.0,22304000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,22144000.0,22272000.0,chr1,22400000.0,22528000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,22400000.0,22592000.0,chr1,22400000.0,22592000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,22752000.0,22880000.0,chr1,22752000.0,22880000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,22912000.0,23104000.0,chr1,22880000.0,23104000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,22944000.0,23072000.0,chr1,23200000.0,23328000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,23200000.0,23360000.0,chr1,23168000.0,23360000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,23488000.0,23776000.0,chr1,23456000.0,23776000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,23904000.0,24000000.0,chr1,23904000.0,23968000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,24096000.0,24256000.0,chr1,24096000.0,24256000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,24320000.0,24512000.0,chr1,24288000.0,24512000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,24768000.0,24800000.0,chr1,24320000.0,24384000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,24608000.0,24704000.0,chr1,24384000.0,24480000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,24288000.0,24512000.0,chr1,24576000.0,24832000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,24640000.0,24704000.0,chr1,24608000.0,24672000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,24704000.0,24864000.0,chr1,24704000.0,24864000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,24896000.0,25152000.0,chr1,24896000.0,25120000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,25312000.0,25472000.0,chr1,25280000.0,25440000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,24960000.0,25024000.0,chr1,25344000.0,25472000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,25536000.0,25664000.0,chr1,25504000.0,25632000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,25696000.0,25824000.0,chr1,25664000.0,25792000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,25920000.0,26176000.0,chr1,25888000.0,26176000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,26336000.0,26624000.0,chr1,26304000.0,26624000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
chr1,25952000.0,26144000.0,chr1,26368000.0,26528000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,26784000.0,26912000.0,chr1,26752000.0,26880000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,27232000.0,27264000.0,chr1,26816000.0,26848000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,26880000.0,27008000.0,chr1,26880000.0,26976000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,26784000.0,26944000.0,chr1,27168000.0,27296000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,27168000.0,27424000.0,chr1,27136000.0,27424000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,27520000.0,27648000.0,chr1,27488000.0,27616000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,27712000.0,27872000.0,chr1,27712000.0,27840000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,27584000.0,27616000.0,chr1,27776000.0,27808000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,28160000.0,28224000.0,chr1,28128000.0,28256000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,28416000.0,28448000.0,chr1,28384000.0,28448000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,28704000.0,28864000.0,chr1,28672000.0,28864000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,28960000.0,28992000.0,chr1,28928000.0,28992000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,29728000.0,29760000.0,chr1,29696000.0,29760000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,29952000.0,30016000.0,chr1,29920000.0,30016000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,30112000.0,30336000.0,chr1,30112000.0,30304000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,30496000.0,30528000.0,chr1,30208000.0,30240000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,30144000.0,30304000.0,chr1,30432000.0,30624000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,30464000.0,30560000.0,chr1,30432000.0,30528000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,30592000.0,30752000.0,chr1,30592000.0,30752000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,31072000.0,31232000.0,chr1,31040000.0,31232000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,31296000.0,31424000.0,chr1,31264000.0,31424000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,31040000.0,31168000.0,chr1,31296000.0,31392000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,31520000.0,31776000.0,chr1,31520000.0,31776000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,31904000.0,32032000.0,chr1,31584000.0,31744000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,31552000.0,31776000.0,chr1,31872000.0,32064000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,31872000.0,32128000.0,chr1,31872000.0,32096000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,31136000.0,31168000.0,chr1,31968000.0,32032000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,32128000.0,32448000.0,chr1,32096000.0,32448000.0,320000.0,10,32000.0,1,1,1,1,0.5,11
chr1,31936000.0,32064000.0,chr1,32160000.0,32352000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,32224000.0,32256000.0,chr1,32448000.0,32480000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,32896000.0,33024000.0,chr1,32896000.0,32992000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,33088000.0,33152000.0,chr1,33056000.0,33152000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,33280000.0,33440000.0,chr1,33248000.0,33408000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,33536000.0,33696000.0,chr1,33536000.0,33696000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,34016000.0,34048000.0,chr1,33568000.0,33632000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,33824000.0,33888000.0,chr1,33824000.0,33856000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,33504000.0,33664000.0,chr1,33888000.0,34080000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,33920000.0,34176000.0,chr1,33920000.0,34144000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,33792000.0,33856000.0,chr1,33984000.0,34080000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,33984000.0,34112000.0,chr1,34208000.0,34336000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,34208000.0,34304000.0,chr1,34208000.0,34304000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,34368000.0,34432000.0,chr1,34336000.0,34368000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,34496000.0,34656000.0,chr1,34464000.0,34656000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,35104000.0,35200000.0,chr1,35104000.0,35200000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,35328000.0,35456000.0,chr1,35296000.0,35456000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,35552000.0,35680000.0,chr1,35520000.0,35680000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,36032000.0,36160000.0,chr1,36032000.0,36128000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,36224000.0,36416000.0,chr1,36224000.0,36384000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,36544000.0,36704000.0,chr1,36512000.0,36704000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,36320000.0,36352000.0,chr1,36576000.0,36640000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,36896000.0,37024000.0,chr1,36896000.0,36992000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,36576000.0,36608000.0,chr1,36960000.0,37024000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,37056000.0,37216000.0,chr1,37024000.0,37216000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,37440000.0,37472000.0,chr1,37408000.0,37440000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,37472000.0,37632000.0,chr1,37440000.0,37632000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,37728000.0,37888000.0,chr1,37696000.0,37856000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,37984000.0,38112000.0,chr1,37728000.0,37792000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,37952000.0,38176000.0,chr1,37920000.0,38176000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,40256000.0,40448000.0,chr1,37888000.0,38144000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,37696000.0,37856000.0,chr1,37952000.0,38144000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,38272000.0,38400000.0,chr1,37952000.0,38144000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,39872000.0,39904000.0,chr1,37952000.0,38016000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,40064000.0,40480000.0,chr1,37984000.0,38432000.0,416000.0,13,32000.0,1,1,1,1,0.5,11
chr1,40512000.0,40704000.0,chr1,38144000.0,38336000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,37920000.0,38176000.0,chr1,38240000.0,38432000.0,256000.0,8,32000.0,1,1,1,1,0.5,11
chr1,38240000.0,38464000.0,chr1,38208000.0,38432000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,39840000.0,39936000.0,chr1,38240000.0,38368000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,39968000.0,40384000.0,chr1,38240000.0,38656000.0,416000.0,13,32000.0,1,1,1,1,0.5,11
chr1,40544000.0,40576000.0,chr1,38432000.0,38496000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,38240000.0,38368000.0,chr1,38496000.0,38656000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,38496000.0,38688000.0,chr1,38496000.0,38688000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,38592000.0,38656000.0,chr1,38816000.0,38912000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,38816000.0,39040000.0,chr1,38784000.0,39040000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,40288000.0,40320000.0,chr1,38848000.0,38880000.0,32000.0,1,32000.0,1,1,1,1,0.5,11
chr1,38944000.0,39008000.0,chr1,39136000.0,39232000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,39136000.0,39232000.0,chr1,39136000.0,39232000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,39264000.0,39360000.0,chr1,39232000.0,39328000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,39904000.0,39968000.0,chr1,39872000.0,39936000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,38272000.0,38464000.0,chr1,40000000.0,40192000.0,192000.0,6,32000.0,1,1,1,1,0.5,11
chr1,38016000.0,38432000.0,chr1,40064000.0,40448000.0,416000.0,13,32000.0,1,1,1,1,0.5,11
chr1,40480000.0,40640000.0,chr1,40160000.0,40320000.0,160000.0,5,32000.0,1,1,1,1,0.5,11
chr1,37824000.0,38176000.0,chr1,40224000.0,40448000.0,352000.0,11,32000.0,1,1,1,1,0.5,11
chr1,40192000.0,40416000.0,chr1,40192000.0,40416000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,39872000.0,39936000.0,chr1,40256000.0,40288000.0,64000.0,2,32000.0,1,1,1,1,0.5,11
chr1,40000000.0,40128000.0,chr1,40288000.0,40384000.0,128000.0,4,32000.0,1,1,1,1,0.5,11
chr1,40448000.0,40800000.0,chr1,40416000.0,40768000.0,352000.0,11,32000.0,1,1,1,1,0.5,11
chr1,38144000.0,38368000.0,chr1,40480000.0,40704000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,40160000.0,40384000.0,chr1,40480000.0,40672000.0,224000.0,7,32000.0,1,1,1,1,0.5,11
chr1,40864000.0,40960000.0,chr1,40864000.0,40960000.0,96000.0,3,32000.0,1,1,1,1,0.5,11
chr1,41056000.0,41344000.0,chr1,41056000.0,41312000.0,288000.0,9,32000.0,1,1,1,1,0.5,11
